text,label
Technical Assistance to Office of National Security,Not related to climate
Covid-19 in Bangladesh,Not related to climate
Support to Education Sector Civil Society in Malawi,Not related to climate
Promoting economic development in Indonesia through development of the Rupiah debt capital markets,Not related to climate
Independent Evaluation of the Demand Driven Impact Evaluations for Decisions (3DE) Pilot,Not related to climate
Technical Assistance Fund,Not related to climate
Hurricane Replenishment - Ship,Not related to climate
UK Humanitarian Response to India Floods - July 2013,Not related to climate
Promoting the healthy development of emerging industries in China,Not related to climate
Comprehensive Peace Agreement Delivery & Transition - Sudan,Not related to climate
"Labour Force Survey of Kosovo, 2012",Not related to climate
India Secondary Education - Financial Aid,Not related to climate
Young Lives School-Based Component,Not related to climate
Islamic Relief PPA,Not related to climate
MULTILATORGANISATION and P0007 for Comprehensive Africa Agriculture Development Programme,Not related to climate
Increased government accountability through a more responsive parliament - Albania,Not related to climate
Food and Agriculture Organisation: Support to the Emergency Food Cluster,Not related to climate
Smallholder Commercialisation and Agribusiness Development project in Sierra Leone,Not related to climate
Programme funded staff,Not related to climate
Making All Voices Count: Evaluation Manager,Not related to climate
Scaling up UK impact in the Energy and Low Carbon sectors in India,Not related to climate
Reconstruction Field Office and monitoring,Not related to climate
Supporting energy efficiency improvements in Brazilian industry,Not related to climate
FGMC Bid Preparation,Not related to climate
Empowering Teachers to Support the Integration of Syrian Refugee Children and Youngsters in Turkey into the Education System,Not related to climate
Macro - Technical Assistance Project,Not related to climate
"Partnership Fund: Facilitating government to government dialogues on Science, Tech, and Innovation (ST&I)",Not related to climate
Scoping and research to support development of Prosperity Fund China Global Partners Programme.,Not related to climate
EMAS Support to PACT for peaceful elections in Kenya,Not related to climate
Economic development in the municipality of Zubin Potok,Not related to climate
Partnership for supplies security - to support the Reproductive Health Supplies Coalition Secretariat,Not related to climate
UK Secondment to the European Commission Delegation in Kosovo,Not related to climate
EES Adviser,Not related to climate
PROCOFSERVICES and P0220 for Monrovia water and sanitation Rehabilitation Programme,Not related to climate
Legal Advice Costs for IFFEd,Not related to climate
"Enhancing public awareness, influencing legislation and improving the training of lawyers in support of promoting the use of jury trials in Kazakhstan",Not related to climate
PROCUREMENTOFGOODS and P0053 for Orissa Industrial Policy Resolution 2001,Not related to climate
Access to Justice Programme in South Sudan,Not related to climate
Further maintenance of Calshot Harbour,Not related to climate
Implementing the Wass report,Not related to climate
Build capacity of Indian law enforcement agencies to tackle cyber crime,Not related to climate
Support to Humanitarian Agencies Responding to the Syria Crisis 56,Not related to climate
Little Bay Land Development Survey,Not related to climate
DFID ESRC Joint Fund For Poverty Alleviation,Not related to climate
UN Systems Evaluation,Not related to climate
Externally Financed Output agreement with World Bank for support technical activities and build capacity of the sub-national Government of Jharkhand for Agriculture and Rural Development activities in the state.,Not related to climate
Identifying entry points for accountability interventions in Somalia,Not related to climate
UK Core Support to World Food Programme 2011 - 2015,Not related to climate
To better understand and assess the impact of health research – research,Not related to climate
NONBUDSUPPFINAID for Health Policy and Support Project,Not related to climate
Making Sustainability Disclosure Standards work for Emerging Markets and SMEs (GSG),Not related to climate
PATH 2017- 2021: Expanding and Strengthening the Portfolio of Tools and Treatment Options for Diarrhoeal and Enteric Diseases Product Development Partnership,Not related to climate
Support to UNOCHA for Humanatarian response to El Nino in Southern Africa,Not related to climate
Strengthening state owned Engineering Faculty capabilities in technology transfer in Uruguay,Not related to climate
Supporting Economic Transformation,Not related to climate
UK Support to Integrated Food Security Phase Classification (IPC),Not related to climate
UNDP Support to Southern Sudan Referendum Project,Not related to climate
Administrative costs of Prosperity Fund Low Carbon Energy Programme in South East Asia,Not related to climate
Global Green Growth Institute's Climate Diplomacy Support to LDC Chair,Not related to climate
Coronavirus Relief for Indonesian Sustainable Peatland (CRISP),Not related to climate
The Organisation for Economic Co-operation and Development (Phase I) - Production of a report that will include the 2017 results for the fragility framework,Not related to climate
Guarantco: Private Infrastructure Development Group Scale Up,Not related to climate
"Urban Food Security, Livelihoods & Markets Programme (UFSLM) - Monitoring & Evaluation",Not related to climate
Support to Independent Media in Moldova,Not related to climate
"Promoting greater awareness of human rights, through a series of films and related events, to reach a broader cross section of Burmese society",Not related to climate
Support to the World Food Programme (WFP) - logisitics,Not related to climate
Support to Education SWAp,Not related to climate
Tax and Economic Governance Programme (TEG),Not related to climate
ESP United Nations Development Programme (UNDP) - POOLED CONTRIBUTION,Not related to climate
SHPR- Emergency Response and Recovery Fund- Support to Hoar Flooding 2017,Not related to climate
FLSTAP - Procurement of services,Not related to climate
Humanitarian Support Programme,Not related to climate
Scaling Impact Bonds: Design Phase Grant - Coordination and analytical research to develop strategy for scaling impact bonds and pay for success tool to achieve development outcomes,Not related to climate
Africa Enterprise Challenge Fund (South Sudan),Not related to climate
Contribution to Multi-donor support to promote improved governance with focus on government accountability and responsiveness to all poor and vulnerable sections of society - Domestic Accountability Programme,Not related to climate
Global Water Leadership - Support to UNICEF – Joint Monitoring Programme,Not related to climate
National Education Reform Secretariat - Reform Delivery Phase II,Not related to climate
"NOTFORPROFITORG and P0015 for Merlin - Referral Health Services Kindu, Maniema province",Not related to climate
Global Environment Facility 7th replenishment - Environment,Not related to climate
Financial Assistance to the Facilitation and Coordination of Access of Goods and Personnel  in the Occupied Palestinian Territories.,Not related to climate
Support for data collection and analysis of FCDO Security  & Justice Programming,Not related to climate
mNutrition- procuring of services component for the Impact evaluation - Research,Not related to climate
Accountable Grant Ag4661: Support to Ethiopian Economic Association - Core Program Funding,Not related to climate
Frontier Technologies 2 COVIDaction: Oxygen and Vaccine Data CoLab - advancing the R&D of oxygen concentrators and identifying niche data challenges to vaccine roll out.,Not related to climate
Build the capacity of the Cuban banking sector to decrease the potential for financial fraud in sectors of the economy vulnerable to money laundering.,Not related to climate
Promoting democratic values in Serbia,Not related to climate
ERT: Review of the 2007-2010 Gender Equality Action Plan,Not related to climate
African Labour Cost Research,Not related to climate
Promoting healthy and sustainable livelihoods among disadvantaged youth in South Africa,Not related to climate
NOTFORPROFITORG and P0118 for Care & Support Services  Vulnerable & Excluded Child CSCF387,Not related to climate
Consultancy Support to Chair of the Committee on Food Security,Not related to climate
To fund the increase of knowledge and evidence to inform the effective and sustainable control of neglected tropical diseases at-scale in developing countries,Not related to climate
Zambia Democratic Governance Programme,Not related to climate
Supporting Brazilian adaptation to climate change,Not related to climate
Promoting the right to freedom of expression in Bangladesh,Not related to climate
Private Sector Development Programme - Design Phase,Not related to climate
Component 2 - PROTECTON of Basic Services,Not related to climate
Research paper on the War Economy in Syria,Not related to climate
Increasing prosperity in Serbia by supporting youth entrepreneurship,Not related to climate
Syria Humanitarian Response Programme DRC Standby Partnership,Not related to climate
Research inspired Water Policy,Not related to climate
Accountable Grant with the Business Networks,Not related to climate
Accountable Grant Ag5229,Not related to climate
Targeting support directly to the poorest Egyptians,Not related to climate
Reproductive & Child Health,Not related to climate
Improving the Effectiveness of Budget Support in Tanzania,Not related to climate
Knowledge Partnership Programme,Not related to climate
International Development Association 17th Replenishment (IDA 17),Not related to climate
Improving the application of risk modelling for disaster risk management - Part 1,Not related to climate
Technical Advisory support to Governor of Bank of Uganda,Not related to climate
Innovation component: testing what works for supporting people with disabilities and generating evidence of effectiveness,Not related to climate
WINDLE Trust English Language Training,Not related to climate
"Human Rights, Democracy, and the Rule of Law in Sri Lanka",Not related to climate
Pitcairn Wind Power - Equipment Procurement,Not related to climate
Overseas Development Institute - Provision of thematic analysis and advice,Not related to climate
Promoting Access to Information Project in Brazil CSCF346,Not related to climate
Evidence review and case studies of CSO development cooperation and Mexico high-level meeting engagement,Not related to climate
Inception Phase to undertake design and appraisal of the programme,Not related to climate
Western Balkans Stability CSSF Programme,Not related to climate
Conflict Programme,Not related to climate
Caribbean Development Bank Special Development Fund 8th Replenishment (SDF 8) Promissory Note 2014/15,Not related to climate
Addressing Gender-Based Violence - CARE International,Not related to climate
Support to Gaza Humanitarian Response and Early Recovery in the Occupied Palestinian Territories,Not related to climate
Assistance to Flood Victims in Zambia,Not related to climate
To support to Lakka Ebola Treatment Centre in Sierra Leone - EMERGENCY,Not related to climate
"Monitoring, Research and Procurement of Service  for SPEMP",Not related to climate
Lab-LITE: Moving Dart (Developing Anti-Retroviral Treatment) Implementation Forwards Into Policy and Practice in Africa,Not related to climate
MULTILATORGANISATION and P0061 for Improving Maternal Health,Not related to climate
Strengthening rule of law in Vanuatu through support to the Office of the Director of Public Prosecutions,Not related to climate
The focus is to support countries in implementing beneficial ownership transparency (BOT) – one of South Africa’s G20 commitments and a key policy area for the UK globally.,Not related to climate
Ministry of Defence (Mod) Ship Providing Support to  Haiti,Not related to climate
"To support the South African government to tackle the burden of noncommunicable diseases, improve quality of health care and support equitable, and accessible, universal health coverage.",Not related to climate
Supporting South Africa's infrastructure needs,Not related to climate
Global Community Links Programme,Not related to climate
Support to Humanitarian Agencies Responding to the Syria Crisis 10,Not related to climate
Moved to Component 204570-107 under CDEL (Literature review and feasibility study on poverty impacts of the East Africa Community economic integration),Not related to climate
Financial Service Inclusion Programme,Not related to climate
Estates Manager,Not related to climate
Stamp Out Slavery in Nigeria -Strengthening the Capacity of State and Non-State Actors,Not related to climate
Tackling climate change in Chile: Supporting the development of an energy 2050 calculator,Not related to climate
In Support of Human Rights Internet Under the Conflict and Humanitarian Fund Arrangement,Not related to climate
UK membership of the Donor Committee for Enterprise Development (DCED),Not related to climate
Contribution to Trademark East Africa - TMEA Rwanda,Not related to climate
Education Sector Support Technical Cooperation,Not related to climate
NOTFORPROFITORG and P0118 for Strengthening Girls and Women's Education CSCF407,Not related to climate
OECD Anti-Corruption Network in Central Asia,Not related to climate
Research with UK's Medical Research Council,Not related to climate
Programme support for Protect and Prepare Capacity Building,Not related to climate
Supporting long term planning for China's low carbon transition,Not related to climate
FAO (Food and Agricultural Organisation),Not related to climate
Governance Results Fund,Not related to climate
Promoting Participation in Elections in an ODA eligible country,Not related to climate
Emergency Ebola Response Fund to support rapid establishment /expansion of treatment centres in Sierra Leone - GOAL,Not related to climate
Promoting efficiency in Chinese emissions trading,Not related to climate
Foundation for Civil Society  Programme (FCSP),Not related to climate
Support the development of social and environmental safeguards in financial institutions in China,Not related to climate
MOU: Contribution To UNHCR For Somali Refugees In DADAAB,Not related to climate
"NOTFORPROFITORG and P0050 for BRAC Maternal, Neonatal and Child Survival Project",Not related to climate
Support to the work of the Office of the Quartet in Jerusalem to develope the Palestinian economy.,Not related to climate
ODI- Promoting Change and Value for Money in European Development Cooperation,Not related to climate
Expert Food Security & Nutrition Analysis Helpdesk,Not related to climate
Promissory Note 1 of 3 10th Replenishment,Not related to climate
ACCESS TO FAMILY PLANNING COMMODITIES,Not related to climate
Secretariat of the Pacific Regional Environment Programme (SPREP) Membership Subscription,Not related to climate
Extractive Industries Transparency Initiative MDTF Payment,Not related to climate
Technical Assistance for Emergency Nutrition,Not related to climate
Community Peace and Empowerment Project CSCF333,Not related to climate
Core Funding Support to the United Nations Development Programme 2021-22,Not related to climate
Support to Annual Status of Education Report (ASER) 2013 -2015,Not related to climate
Improving Maternal and Child Health After NARGIS,Not related to climate
World Bank (High Frequency Survey) for Strengthening Economic Governance (SEG) in South Sudan,Not related to climate
Introducing innovative small-scale waste-to-energy technology and business model to South Africa.,Not related to climate
Humanitarian Action and Recovery after Crisis programme (HARC),Not related to climate
"Strengthening of commercial dispute resolution system in Kerala, Tamil Nadu and Karnataka",Not related to climate
Knowledge Partnership Programme (KPP)-National Component,Not related to climate
Establishing Monitoring and Evaluation mechanisms for the Cross-government Prosperity Fund,Not related to climate
Makutano Junction,Not related to climate
"Social Fund for Development, Phase II Response to the Conflict",Not related to climate
Global Environment Facility 6th Replenishment-Environment,Not related to climate
Support to the Interim Planning and Liaison Unit,Not related to climate
Support to State Formation - Somalia Stability Fund,Not related to climate
Frontline Diplomatic Enabling Activity in Africa,Not related to climate
Strengthening economic governance in Serbia,Not related to climate
Support for the Development of Agricultural Markets in Zambia,Not related to climate
Frontline Diplomatic Enabling Activity in Montenegro,Not related to climate
PLANE - World Bank Externally Funded Output for Technical Support on Education,Not related to climate
"Monitoring and Evaluation Framework and evaluability assessment of Strengthening African Networks for Governance, Accoutability and Transparency",Not related to climate
National Crime Agency Deployments to Africa 19/20,Not related to climate
English as a Foreign Language Programme: developing English and methodological skills for teachers to support better English language skills in Brazil,Not related to climate
Violence Against Women and Girls High Level Meeting November 2013,Not related to climate
Support To Family Planning - Consultant Costs,Not related to climate
Research To Enhance The Reduction Of Corruption In Developing Countries,Not related to climate
African Tax Administration Forum core funding,Not related to climate
Frontline Diplomatic Enabling Activity in Cameroon,Not related to climate
Accountable Grant with West African Centre for Cell Biology of Infectious Pathogens (WACCBIP),Not related to climate
"Promoting capital market development, integration and liberalisation through the Association of South East Asian Nations (ASEAN)",Not related to climate
Accountable Grant AG5149 for Rights and Governance Challenge fund (Migrated data),Not related to climate
Strengthening the capacity of supreme audit institutions for more open and independent audits and improved scrutiny of government budgets,Not related to climate
Poverty Reduction and Growth Programme 2007-2010 (PRGO),Not related to climate
IDEAS 2015 Global Assembly EvD Contribution,Not related to climate
Discussions on the future of education in Asia,Not related to climate
Women and Girls in Sudan,Not related to climate
Trade Experts Group,Not related to climate
Support to the Xviii International AIDS Conference,Not related to climate
NGO lead Rapid Response Programme to supported internally displaced populations in Eastern DRC.,Not related to climate
Procurement of services for the the Zambia Advisory Facility Programme,Not related to climate
"NOTFORPROFITORG and P0118 for Legal Literacy, Rights Advice and Information  CSCF426",Not related to climate
Support to the Commonwealth Foundation,Not related to climate
Rapid Mortality Mobile Phone Surveys - D.R.C,Not related to climate
Security Sector Reform (SSR) Strategy Fund,Not related to climate
Growth Resources Opportunities and Wealth creation in Bihar,Not related to climate
Joint Country Programme Evaluation - Tanzania,Not related to climate
NOTFORPROFITORG and P0209 for ICG Programmatic Funding,Not related to climate
Volunteering For Development,Not related to climate
The Provision of Essential Medicines and Medical Supplies to Reduce Maternal and Child Morbidity and Mortality in Sierra Leone,Not related to climate
Promoting China’s Alignment with International Standards for Animal Testing.,Not related to climate
"Targeted work with local and national government and the private sector, to reduce corruption risks in the Mongolian mining sector",Not related to climate
Reproductive Health Supplies Coalition:Long-Term Secretariat Sustainability,Not related to climate
School Education Quality Assurance Programme (SEQAP),Not related to climate
Support the application of best practice as part of China's urbanisation,Not related to climate
UK Global Health Security Research & Development Programme.,Not related to climate
"Funding small scale strategic projects of value to the education sector, such as one-off pieces of analysis and DFID Tanzania’s youth engagement initiative",Not related to climate
"Monitoring, Analysis and Coordination Costs",Not related to climate
Oxfam West Africa Humanitarian Response Fund (WAHRF) Project,Not related to climate
Voluntary core funding to United Nations Population Fund (UNFPA) 2011-15,Not related to climate
"To fund a post to provide advisory and policy support to the Conflict, Stability and Security Fund (CSSF) in Africa",Not related to climate
This project provides core support to the International Federation of the Red Cross (IFRC),Not related to climate
PST Pilot Political Economy Analyses At Sector Level (Jointly With World Bank),Not related to climate
Cash and food transfers to chronically food insecure households,Not related to climate
Enterprise Growth and Bank Modernisation,Not related to climate
Child Labour & Education,Not related to climate
Capitalizing on Climate Finance,Not related to climate
Nepal Health Sector Programme III - Technical Assistance for Support for Hospital Retrofitting - Resource,Not related to climate
Supporting the development of freedom of expression legislation in Tunisia,Not related to climate
PROCOFSERVICES and P0024 for Civil Society Voice & Accountability Programme,Not related to climate
PROCOFSERVICES and P0038 for State Initiatives Fund,Not related to climate
Inclusive Business Challenge Fund,Not related to climate
Health and Nutrition Tracking Service (HNTS),Not related to climate
ACCOUNTABLE GRANT: THE BUSINESS DEVELOPMENT INITIATIVE(Complete),Not related to climate
Covid-19 Modelling support for Pakistan,Not related to climate
Creating Opportunities for the Poor and Excluded in Bangladesh (COPE) Implementation phase managed by Manusher Jonno Foundation,Not related to climate
Improving access to justice for victims of gender based violence among most vulnerable women and girls in China.,Not related to climate
Call down contract from IMDP framework for external support to due diligence,Not related to climate
ECONOMIC POLICY RESEARCH INSTITUTE - Social Protection Training Programmes,Not related to climate
Rural Access Programme 3 - Technical Assistance,Not related to climate
"Supporting Human Rights, Democracy and the Rules based International System in Congo (Democratic Republic)",Not related to climate
Improved data collection through youth engagement,Not related to climate
Safer Motherhood in Kenya - Appraisal and Design,Not related to climate
Reducing the cost of mobile-to-mobile technology to make essential appliances more affordable for poor people in developing countries,Not related to climate
"Support for the Adoption of International Financial Reporting Standards (IFRS) in Vietnam to enable the development of a transparent business environment in Vietnam, to increase domestic and foreign investor confidence, including UK companies.",Not related to climate
Countering Proliferation in Sierra Leone,Not related to climate
Grant for Social Marketing of Condoms,Not related to climate
"Nutrition, health and sanitation support in Eritrea",Not related to climate
Support to WHO - Operations for reducing morbidity & mortality by early detection and response to epidemics of communicable diseases,Not related to climate
HUMANITASSISTANCE and P0139 for Support for OIE/FAO OFFLU,Not related to climate
Maintaining Essential Services After a Natural Disaster - MAINTAINS,Not related to climate
Mozambique Poverty Studies,Not related to climate
Supporting the development of an Emissions Trading Scheme in South China,Not related to climate
NONBUDSUPPFINAID and P0023 for Bus Env Strength Prog Tanz,Not related to climate
Zimbabwe Girls Secondary Education 2012 - 2016,Not related to climate
International Programmes in Guatemala (2020 - 2022),Not related to climate
Foundation for Innovative New Diagnostics (FIND) 2017-2024,Not related to climate
Chevening Scholarships Official Development Assistance (ODA),Not related to climate
Saving Maternal and Newborn Lives - Zimbabwe Maternal and PERINATAL Mortality Study - ZMPS Agents Support to DTTU - PROCOFERVICES,Not related to climate
Governance and Poverty Policy Analysis and Advice (GAPAP),Not related to climate
PROCOFSERVICES and P0265 for Support to International Statistical System,Not related to climate
PROCOFSERVICES and P0266 for Functional Review of Institutional design of Ministries,Not related to climate
UNHCR Institutional Strategy 2010,Not related to climate
Business Innovation Facility in Burma,Not related to climate
Support to World Vision response to the Flash Floods in the Solomon Islands,Not related to climate
PROCOFSERVICES and P0165 for Building Capacity of DCEs,Not related to climate
Hungarian and Polish Ministries of Foreign Affairs Study Visit,Not related to climate
Business Enabling Environment Programme  - Private Sector Led Growth,Not related to climate
Procurement of Goods for TDP - Programme Capital,Not related to climate
Ag With IIED for ECBI Workshop,Not related to climate
Core contribution to Vietnam Development Action Plan Pilott,Not related to climate
Evaluation Quality Assurance and Learning Service,Not related to climate
IDA - Social Protection and Crisis Response - 3Rd PN Dated 31/03/2012,Not related to climate
Core Support to Nelson Mandela Foundation,Not related to climate
Zambia Technical Assistance through AgDevCo,Not related to climate
Procurement of Services,Not related to climate
Building capacity of the Ministry of Social Affairs Lebanon,Not related to climate
PRT (R) - RIVAF Project,Not related to climate
Second Replenishment of the Inter-American Development Bank's Multilateral,Not related to climate
Nile Basin Discourse (NBD),Not related to climate
"The Special Programme of Research, Development and Research Training in Human Reproduction (HRP)",Not related to climate
The Crown Prosecution Service - Supporting Criminal Justice and Law enforcement responses to organised Crime,Not related to climate
MOU: UNOPS Watsan and Shelter Programme,Not related to climate
Financial Aid- Anti Corruption Division of the High Court,Not related to climate
Forensics Trainers,Not related to climate
Procurement of Services for Advocacy for Primary Health Care Reform,Not related to climate
Increasing the provision of essential health care services through support for health workers in Sierra Leone,Not related to climate
HERA - Evaluation work for the maternal and newborn health programme,Not related to climate
London-Nigeria Reconciliation Training (Closed),Not related to climate
Strengthening the contribution of Human Rights Organisations in implementation of Human Rights Standards,Not related to climate
Support Towards Infrastructure on SSA II,Not related to climate
Humanitarian assistance to meet needs in the region in response to the crisis in Venezuela - International Federation of Red Cross and Red Crescent Societies,Not related to climate
Department of Political Affairs: Mediation Support Unit,Not related to climate
Early Learning and Transition to Primary School: New Generation Programme,Not related to climate
Protection of Basic Services programme Phase III-no further payments,Not related to climate
"Digital Access - Support to inclusive connectivity, digital skills, content and services for underserved communities, via grants",Not related to climate
Rwanda Agriculture sector delivery grant,Not related to climate
Pre-appraisal and design consultancy for Inclusion Business Case,Not related to climate
NIAF 2: Urbanisation and Infrastructure Research & Evaluation Programme,Not related to climate
HIV Earmarked Funding for  PMTCT - CLOSED,Not related to climate
Support to HAKIELIMU Accountable Grant,Not related to climate
AsDB GCI V - 1St Instalment Due July 2010,Not related to climate
Strengthening Ghana's capital markets in order to generate economic development,Not related to climate
Promoting economic growth in Rwanda,Not related to climate
MULTILATORGANISATION and P0307 for St Helena Wastewater,Not related to climate
Scaling up Renewable Energy Generation in South Africa,Not related to climate
UK Aid Match Funding for British Red Cross - Hurricane Irma Appeal 2017 (ODA),Not related to climate
Support to Humanitarian Agencies Responding to the Syria Crisis 67,Not related to climate
Development of the Humanitarian And Leadership Academy,Not related to climate
Frontline Diplomatic Enabling Activity in Morocco,Not related to climate
Accountable Grant for CCICED Task Force on Low Carbon Industrialisation Strategy,Not related to climate
Increasing awareness among Chinese stakeholders about enforcement of intellectual property rights,Not related to climate
Estimation of carbon sequestration potential of activities under Mahatma Gandhi National Rural Employment Guarantee Act,Not related to climate
Women and Girls in Nepal,Not related to climate
Heath Pooled Fund III- Ebola Preparedness Fund,Not related to climate
Linking Agribusiness and Nutrition in Mozambique,Not related to climate
Transparency and Accountability Interventions,Not related to climate
Africa Progress Panel,Not related to climate
"Improving Statistics for Food Security, Sustainable Agriculture and Rural Development",Not related to climate
"Financial Conduct Regulation: UK Principles, Experience and Implications for China",Not related to climate
"Expenditure on the Research for Health in Humanitarian Crises programme (research calls, rapid response mechanism and other activities)",Not related to climate
Support to Not for Profit organisation to develop policy monitoring and research initiatives in Zambia,Not related to climate
Changing laws changing lives 2022 2023,Not related to climate
Prosperity Fund Mexico Administration Costs,Not related to climate
NOTFORPROFITORG and P0021 for Support to MAT,Not related to climate
Study on Global peacebuilding Funds,Not related to climate
FSDP: EFINA AG - Technical Advice to Government; Long & Short Term Consultancies; Research & Innovation Grant.,Not related to climate
PST MOU: Partnerships & Knowledge WB,Not related to climate
Strengthening civil service capability to improve the delivery of governance reform in Uzbekistan,Not related to climate
"Improving the commercial dispute resolution legal framework, its implementation and enforceability in China",Not related to climate
"Transparency, Accountability and Stability for Credible and Peaceful Elections(TASTE)",Not related to climate
HIV/AIDS Support Prog,Not related to climate
Research & Design for Partnerships Beyond Aid,Not related to climate
PROCOFSERVICES and P0165 for Support to the Darfur-Darfur Dialogue and Consultation,Not related to climate
Economic Security and Opportunity in Kyrgyzstan,Not related to climate
Jo Cox Memorial Grants (JCMG),Not related to climate
Countering violent extremism in Sri Lanka,Not related to climate
"Rules Based International System, Managing Conflict and Building Stability in Afghanistan",Not related to climate
Support to EITI Secretariat,Not related to climate
Capital - Capital expenditure required for programme delivery,Not related to climate
Early Childhood Development - Programme Funded Post,Not related to climate
"Support to Government - National Cash Transfers, Benazir Income Support Programme [NOT IN USE]",Not related to climate
Address human trafficking in North-East India by building capacity of stakeholders using Information Technology solutions,Not related to climate
World Bank Programme for Results Support to Agriculture in Rwanda,Not related to climate
Human Development Initiative (HDI) for reduction of extreme poverty and hunger,Not related to climate
Support to emergency Ebola medical treatment in Sierra Leone and Liberia by MSF,Not related to climate
Support to the International Committee of the Red Cross (ICRC) to respond to the Libya Crisis,Not related to climate
Human-centred design approach study to understand root causes of dropout and enrolment,Not related to climate
Accountable Grant CSCF0351: RAWALPINDI URBAN DEVELOPMENT PROGRAMME,Not related to climate
"Resilience building, integrated livelihoods and service delivery enhancement in Afghanistan (RISE)",Not related to climate
Core contribution to the Inter-Governmental Group for Action Against Money Laudnering in West Africa,Not related to climate
Domestic Violence Against Women and Girls,Not related to climate
World Food Programme - Emergency,Not related to climate
Design and Appraisal for the Local Governance programme,Not related to climate
Consultancy for COMMSEC Evaluation,Not related to climate
Zoonoses and Emerging Livestock Systems: reducing the risk to livestock and people,Not related to climate
MDTF Collated pre-2008,Not related to climate
Accountable Grant CSCF0401: ENHANCING DEMOCRATIC GOVERNANACE THROUGH CIVIL SOCIETY COALITIONS,Not related to climate
MULTILATORGANISATION and P0051 for Rural Water Supply & Sanitation Reform Programme,Not related to climate
HarvestPlus  Multilateral core funding component,Not related to climate
Better Work/Vision Zero Fund Programme Ethiopia,Not related to climate
META Evaluation,Not related to climate
Humanitarian Contribution to the World Food Programme,Not related to climate
Maritime Expertise to Somalia,Not related to climate
Administrative Costs of ODA Projects in China,Not related to climate
WFP Kenya Emergency Food Aid Intervention (2009),Not related to climate
Education Research in Conflict and Protracted Crisis (ERICC),Not related to climate
DFID contribution for Impact Evaluation of the Livelihood Empowerment Against Poverty (LEAP) Programme- with funds managed by the United Nations International Children's Emergency Fund ( UNICEF),Not related to climate
Partnership with Bal Raksha Bharat on Urban Street Children initiatives,Not related to climate
Supporting the UN Framework Team for Preventive Action,Not related to climate
Civil Society Unleashed: A model for youth and community driven change.,Not related to climate
"Public Private Partnership support facility, Fund Manager",Not related to climate
High Level Taskforce on Innovative Financing for Health Systems,Not related to climate
OCHA - Support to Yemen's Emergency Response Fund (ERF),Not related to climate
Support the implementation of the Promoting Equality in African Schools programme through contribution to construction of schools,Not related to climate
Monitoring and Assurance planning component,Not related to climate
Accountable Grant Ag5125 Care Ca004,Not related to climate
Community Health Media Trust(CHMT),Not related to climate
DRC - Humanitarian Pooled Fund - 2009 Onwards,Not related to climate
Support to the UN Food and Agriculture Organisation (FAO) in Syria,Not related to climate
Core support to United Nations International Childrens Emergency Fund (UNICEF) to accelerate Sanitation and Water for All in in up to 12 countries which are currently unlikely to reach the Millennium Development Goal (MDG) targets.,Not related to climate
ODI support for Quantifying Tenure Risk,Not related to climate
Promoting British values and gender equality in Lebanon,Not related to climate
Civil Society PARTICPATION in the European Neighbourhood Policy (ENP) - a REGINAL Approach to Conflict Resolution,Not related to climate
Common Fund for Commodities,Not related to climate
Support to the delivery of 2012 national population census in Zimbabwe through the United Nations Fund for Population,Not related to climate
Air Charter Service (ACS): Flights (Haiti Response),Not related to climate
SAIRLA mid-tem review through EACDS,Not related to climate
European Report on Development ( ERD) 2009 Workshop Attendance,Not related to climate
Supporting women’s organisations in Ukraine to deliver humanitarian and protection activities.,Not related to climate
Cholera Outbreak in Sierra Leone - Rapid Response Facility,Not related to climate
Recovery Justice Programme in Sierra Leone,Not related to climate
R2 Children in Crisis UK Aid Match,Not related to climate
International Initiative on Impact Evaluation (3IE,Not related to climate
PROCUREMENTOFGOODS and P0050 for Bangladesh Remittance and Payments Partnership,Not related to climate
Economic Security and Opportunity in Peru,Not related to climate
"Support to strengthen coordination in Rakhine State by supporting the cost of a Senior Liaison Advisor position with the Resident/Humanitarian Coordinator’s Office, based in Rakhine State, Burma",Not related to climate
Support to the Fifth Sudan Population Census,Not related to climate
Global Nutrition Report,Not related to climate
Funding to UNFPA to Increase Availability of Family Planning Commodities,Not related to climate
Stabilisation Support to Sub-Saharan Africa - Sudan,Not related to climate
CARE International UK Programme Partnership Arrangement,Not related to climate
Support to Lebanon’s Reaching All Children with Education plan (RACE II),Not related to climate
S.U.R.G.E: Supporting (LGBT+) Rights and Growth Efforts,Not related to climate
Accelerating Investment and Infrastructure in Nepal Financial Aid,Not related to climate
Enabling Fund - Trial Year - English Language Training for LGBT+ Activists,Not related to climate
MOL: Support to Economic Council in Moldova EBRD,Not related to climate
Enhancing the Rights of the Indigenous People CSCF429,Not related to climate
Women and Girls in Sri Lanka,Not related to climate
St Helena Budgetary Aid and Technical Co-operation,Not related to climate
"Pakistan research mapping studies on education, political economy and public policy",Not related to climate
Nutrition Assistance to Karamoja 2011-2012,Not related to climate
Administrative Costs of ODA Projects in India,Not related to climate
"Strenghtening the social service workforce and systems for preventing and responding to violence, abuse and exploitation of children on the move",Not related to climate
Mauritius Multi-Sector Development Programme (MMDP),Not related to climate
"Employment,Enterprise and Livelihoods Programme in Somalia-International Labour Organisation(ILO)",Not related to climate
Support Public Financial Management Reform,Not related to climate
Educating Women to Participate in Local Bodies Elections in Khyber Pakhtunkhwa,Not related to climate
Procuring of services for the Social Impact Bond Uganda,Not related to climate
