iati_identifier,text,label
GB-1-201633-101,Accountable Grant to the International Institute for Envionment and Development to support climate change adaptation research and advocacy in Zimbabwe,Not related to climate
GB-GOV-1-301454,Good Governance Fund (Phase 3) Eastern Neighbourhood: Supporting Governance and Economic Reform,Not related to climate
GB-1-204270-114,Zambia Technical Assistance through AgDevCo,Not related to climate
GB-GOV-1-300648-105,Humanitarian Quality Assurance Initiative (HQAI),Not related to climate
GB-1-201551,Education Sector Reform Programme,Not related to climate
GB-1-204250-105,"*COMPLETED* Support to the World Bank ""Enhancing Economic Performance of African Cities Programme""",Not related to climate
GB-1-202264-106,Domestic Violence Against Women and Girls,Not related to climate
GB-1-204904-103,"Staffing, training and on-going running costs",Not related to climate
GB-GOV-3-PAM-BZB-000064,"Promoting sustainable economic development through renewable energy sources in a small, poor, agricultural community- La Gracia.",Not related to climate
GB-GOV-1-300708-192,Understanding opportunities for mainstreaming climate actions within urban planning in India,Not related to climate
"GB-GOV-3-Human Rights, Democracy, and the Rule of Law-TR","Human Rights, Democracy, and the Rule of Law in Turkey",Not related to climate
GB-GOV-3-PPF-AFR-160017,Supporting South Africa's infrastructure needs,Not related to climate
GB-1-114095,Health and Nutrition Tracking Service (HNTS),Not related to climate
GB-1-200883-102,Audit Services,Not related to climate
GB-1-114160-101,Ethiopia Health MDG Pooled Fund - Design,Not related to climate
GB-1-105983,Support to ICRC'S Humanitarian Appeals in DRC,Not related to climate
GB-1-202574-102,Accountable Grant- Community Security and Justice Programme,Not related to climate
GB-GOV-3-Women and Girls-IN,Women and Girls in India,Not related to climate
GB-GOV-1-301439-403,CARICOM: Support for the publication and dissemination of the Environment and Natural Resources policy across the Caribbean,Not related to climate
GB-1-204024-107,Budget Support to Government of Pakistan - International Monetary Fund Programme[NOT IN USE],Not related to climate
GB-GOV-1-300767-401,Sierra Leone Secondary Education Improvement Programme Phase II (SSEIP 2) CDEL Component,Not related to climate
GB-1-201005,General Budget Support to Rwanda-Second Three Year Phase,Not related to climate
GB-1-204057-101,Design: Conflict Sensivity Resource Centre (CSRC) in South Sudan,Not related to climate
GB-1-202197,UK Aid Match: backing public choices on aid spending,Not related to climate
GB-1-203927-101,Appraisal and Design-Multi-Donor Civil Society Support Programme,Not related to climate
GB-1-114127-101,Core Funding to UNESCO Institute for Statistics FY2008/09 & FY2009/10,Not related to climate
GB-GOV-1-300161-107,Procurement of Services to conduct research on Poverty Dynamics and trends  in Zambia.,Not related to climate
GB-1-204288-107,"Funding small scale strategic projects of value to the education sector, such as one-off pieces of analysis and DFID Tanzania’s youth engagement initiative",Not related to climate
GB-1-203154-102,Equitable Access to Education and Learning in the Democratic Republic of Congo,Not related to climate
GB-GOV-1-300646-105,Supporting Government Reform in Zambia,Not related to climate
GB-1-202515-103,Overseas Development Institute support to Government of South Sudan,Not related to climate
GB-1-204733-103,Financial Support to ensure quality of St Helena public service is not affected by fluctuations in support costs,Not related to climate
GB-GOV-1-300451-104,Technical Support to Aqaba Special Economic Zone,Not related to climate
GB-GOV-1-301281-101,Support designing and evaluating organisational change and cross team integration,Not related to climate
GB-1-203993-101,Design and Appraisal for the Local Governance programme,Not related to climate
GB-1-203966,Arab Partnership Economic Facility (APEF) - Natural Resource Management in the Middle East and North Africa (MENA) Region,Not related to climate
GB-1-201146,Kosovo Corruption Analysis,Not related to climate
GB-1-111803,MIG - Development on the Move,Not related to climate
GB-1-201477-104,Livestock Disease Surveillance,Not related to climate
GB-1-203969-101,Evaluation of the Development Cooperation Between the UK and Vietnam,Not related to climate
GB-GOV-3-PEU-BPB-KAA-000002,"Enhancing public awareness, influencing legislation and improving the training of lawyers in support of promoting the use of jury trials in Kazakhstan",Not related to climate
GB-1-200221-107,Procurement Support for National Roads Authority Uganda,Not related to climate
GB-1-203464-101,Support to the delivery of 2012 national population census in Zimbabwe through the United Nations Fund for Population,Not related to climate
GB-1-114061-102,Accountable Grant AG5201: DIASPORA VOLUNTERING PROGRAMME,Not related to climate
GB-GOV-1-301362-101,HARP- Rapid Respond Facility,Not related to climate
GB-1-200159,Multilateral Organisations Performance Assessment Network Common Approach,Not related to climate
GB-GOV-3-PPF-CHP-000091,Increasing awareness among Chinese stakeholders about enforcement of intellectual property rights,Not related to climate
GB-GOV-1-300614-101,Security and Justice Global Engagement,Not related to climate
GB-GOV-3-PAP-THB-002297,Protecting human rights defenders and decriminalizing defamation in Thailand,Not related to climate
GB-1-202140,Extended Household Budget Survey,Not related to climate
GB-1-203746,Evaluation of Global Mine Action Programme (2011-2013),Not related to climate
GB-GOV-3-PAP-MAK-002270,"Capacity building in GST tax administration for Royal Malaysian Customs, using UK expertise to increase cooperation relating to the transnational crime agenda and ensuring UK businesses are transparently and professionally audited.",Not related to climate
GB-1-201385-101,PST Contribution to World Development Report 2011: Witnesses Programme,Not related to climate
GB-1-203394,Financial Support to the International Committee of the Red Cross(ICRC)  in the Occupied Palestinian Territories,Not related to climate
GB-GOV-3-PF-CHP-912017,Promoting China’s Alignment with International Standards for Animal Testing.,Not related to climate
GB-1-111482,How Can Government Promote Pro Poor Agricultural Growth (Public Expenditure),Not related to climate
GB-1-204401-101,Support to UNHCR Protection work in Yemen,Not related to climate
GB-1-202642,World Vision Programme Partnership Arrangement,Not related to climate
GB-1-204789-101,Preparation of the Global Nutrition Report and Tracking N4G commitments,Not related to climate
GB-GOV-1-300784,Project Soteria stopping perpetrators of sexual exploitation and abuse and sexual harassment from working in the aid sector,Not related to climate
GB-GOV-1-301372-102,"A third-party monitoring, operational research and impact evaluation mechanism",Not related to climate
GB-1-201828,Palestinian Market Development Programme to Strengthen the Private Sector in the Occupied Palestinian Territories (OPTs),Not related to climate
GB-1-203643-103,Support to Fight for Peace International to deliver sport for development interventions for at-risk youths in select communities,Not related to climate
GB-1-205143,Support to Refugees and Migration programme in Ethiopia,Not related to climate
GB-1-113945,Global Community Links Programme,Not related to climate
GB-1-203622-106,"International Conference on Maternal , Newborn and Child Health in Africa",Not related to climate
GB-1-202900-101,Inception Phase to undertake design and appraisal of the programme,Not related to climate
GB-1-107367-101,SECTORBUDGETSUPPORT and P0050 for Bangladesh Budget Support for Roads and Highways Department,Not related to climate
GB-GOV-1-301371-129,Strengthening civil service capability to improve the delivery of governance reform in Uzbekistan,Not related to climate
GB-1-103765-101,SECTORBUDGETSUPPORT and P0026 for Malawi Health Swap,Not related to climate
GB-GOV-1-300844-105,UK Support to Integrated Food Security Phase Classification (IPC),Not related to climate
GB-1-114330-102,Cyclone AILA Emergency Assistance to IOM,Not related to climate
GB-GOV-1-301229-105,Personal Protective Equipment provision through multilateral partner operating in Beirut post explosion (delivered via Palladium under Humanitarian and Stabilisation Operating Team),Not related to climate
GB-1-205128-104,United Nations Children's Fund (UNICEF),Not related to climate
GB-GOV-1-300874-102,Supporting Public Administration Reform in Georgia,Not related to climate
GB-1-203274-111,Emergency Assistance to Nepal Police,Not related to climate
GB-GOV-3-PMN-BIPB-ALG-1761001,UK/Algeria Chamber Commerce,Not related to climate
GB-1-107777-102,MULTILATORGANISATION and P0051 for Rural Water Supply & Sanitation Reform Programme,Not related to climate
GB-1-204695-105,Support to the UNESCO Institute for Statistics (UIS),Not related to climate
GB-1-202547,Delivering Increased Family Planning Across Rural Kenya,Not related to climate
GB-1-112298,Water and Sanitation Programme Core Funding,Not related to climate
GB-GOV-3-PAM-SAT-000032,Canning House Programme 16/17 - raising awareness and knowledge of Latin America,Not related to climate
GB-GOV-3-Maritime Security-GH,Maritime Security in Ghana,Not related to climate
GB-GOV-3-PPF-COB-000006,Enhancing the capability of Colombia to regulate offshore oil and gas major accident hazard,Not related to climate
GB-1-106479,Promoting Access to Information Project in Brazil CSCF346,Not related to climate
GB-1-200772-103,Support for Economic Advocacy and Policy Dialogue,Not related to climate
GB-GOV-3-PF-ASEAN,ASEAN Low Carbon Energy Programme,Not related to climate
GB-1-202343,Food and Agriculture Organisation: Support to the Emergency Food Cluster,Not related to climate
GB-GOV-1-300708-134,Covid-19 in Bangladesh,Not related to climate
GB-1-203704-108,Independent evaluation for the programme,Not related to climate
GB-1-200514,AIDS Treatment Monitoring Advocacy Project (TMAP),Not related to climate
GB-1-200528,European Inter Agency Security Forum,Not related to climate
GB-1-203646-103,Demand side accountability,Not related to climate
GB-1-202139-115,Investment Expert,Not related to climate
GB-1-113595-101,PROCOFSERVICES and P0220 for Monrovia water and sanitation Rehabilitation Programme,Not related to climate
GB-GOV-1-300351-112,"External valuations and legal reviews of DFID's portfolio of DevCap investments in the Private Infrastructure Development Group (PIDG), and support to donor led reviews of PIDG’s development impact.",Not related to climate
GB-GOV-3-PF-BRB-913001,Administrative costs for the development and design of the Brazil Prosperity Fund programme,Not related to climate
GB-GOV-1-301125-103,Non Government Organization Consortia,Not related to climate
GB-GOV-3-PF-CME-921002,Monitoring & risk assessment to support Climate Change Resilience within the Commonwealth Marine Economies Programme,Not related to climate
GB-GOV-3-PPF-SCOCHP-000018,Producing a Scoping Study to explore collaboration opportunities with China in developing an Insurance policy programme,Not related to climate
GB-1-113880-101,Support to Indian Ocean Consortium,Not related to climate
GB-GOV-1-300266-107,UN Reform - Support Empowered Resident Coordinator Offices,Not related to climate
GB-GOV-3-IP_298,"International Programmes in Africa, regional (2020 - 2022)",Not related to climate
GB-1-200366-104,Accountable Grant to Overseas Development Institute (ODI),Not related to climate
GB-GOV-3-PPF-MEX-000010,Support development of first comprehensive waste management strategy to improve Mexico's waste-to-energy and resource recovery capacity,Not related to climate
GB-1-203174-103,"Memoranda of Understanding for Supporting DFID's partnership with China on International Development, covering a range of Millennium Development Goals sectors",Not related to climate
GB-GOV-1-400031-402,"Multilateral Organisation 2 - Emergency Assistance for Afghan Returnee, Displaced and  Vulnerable Populations",Not related to climate
GB-1-201987-101,Community Mobilisation Governance,Not related to climate
GB-1-204156,University Of Johannesburg Building Capacity to use Research Evidence in South Africa and Malawi,Not related to climate
GB-1-203760,Evaluation of DFID's Security and Justice Policy and Programmes,Not related to climate
GB-GOV-3-Frontline Diplomatic Enabling Activity-HT,Frontline Diplomatic Enabling Activity in Haiti,Not related to climate
GB-1-202100,UNHCR Institutional Strategy 2010,Not related to climate
GB-1-205222-110,"Cities and  Infrastructure for Growth (CIG) -  to support economic growth through increased cities, energy and infrastructure. Phase II",Not related to climate
GB-1-205055,Building sustainable anti-corruption action in Tanzania (BSAAT),Not related to climate
GB-1-203311-102,Appraisal & Design - Support to Anti-Corruption Initiatives,Not related to climate
GB-GOV-3-PAP-AUTCNF-002184,Improving regulatory awareness of climate risks in the Chinese insurance system,Not related to climate
GB-1-103325,DFID Support to the Ghana Water Sector,Not related to climate
GB-1-107416-102,PROCUREMENTOFGOODS and P0050 for Bangladesh Remittance and Payments Partnership,Not related to climate
GB-1-113745-101,NOTFORPROFITORG and P0117 for World Wildlife Fund UK PPA,Not related to climate
GB-GOV-3-Combatting Serious and Organised Crime-MY,Combatting Serious and Organised Crime in Malaysia,Not related to climate
GB-1-201160-102,Support to Health Reform Foundation of Nigeria (HERFON) Phase 2 - Procurement of Services: Independent Review & Audit (HERFON Phase 2),Not related to climate
GB-1-200447,WFP Kenya Emergency Food Aid Intervention (2009),Not related to climate
GB-GOV-1-300828-102,Humanitarian assistance to meet needs in the region in response to the crisis in Venezuela - International Federation of Red Cross and Red Crescent Societies,Not related to climate
"GB-GOV-3-Human Rights, Democracy, and the Rule of Law-LK","Human Rights, Democracy, and the Rule of Law in Sri Lanka",Not related to climate
GB-1-201927,Tackling Maternal and Child Undernutrition in Zambia,Not related to climate
GB-1-111489-102,Contributions to the  World Bank - Trust Fund 70710,Not related to climate
GB-GOV-3-PPF-APASEAN-000036,"Promoting capital market development, integration and liberalisation through the Association of South East Asian Nations (ASEAN)",Not related to climate
GB-1-205091-103,CSSF State Formation Strand,Not related to climate
GB-1-104714,"Employment,Enterprise and Livelihoods Programme in Somalia-International Labour Organisation(ILO)",Not related to climate
GB-1-204000-101,Core support to Ifakara Health Institute,Not related to climate
GB-1-202528,South African Partnership on Global Economic Governance,Not related to climate
GB-GOV-1-301263-101,Peace and Conflict Resolution Research,Not related to climate
GB-1-113477,Support to the Fifth Sudan Population Census,Not related to climate
GB-1-202200,Africa Conflict Prevention Programme Monitoring and Evaluation,Not related to climate
GB-GOV-1-301523-999,Unallocated budget,Not related to climate
GB-GOV-1-300046-104,Due Diligence - Yemen Multisector Humanitarian Response Programme,Not related to climate
GB-1-102330-102,Conflict Humanitarian Fund COREFUNDING to Henry Dunant Centre for Humanitarian Dialogue,Not related to climate
GB-1-201094,Stabilisation Support to Sub-Saharan Africa,Not related to climate
GB-1-203115-101,IFPRI study on aflatoxin and child stunting links,Not related to climate
GB-GOV-3-PAM-SAT-000036,Latin American Investment Forum 2016,Not related to climate
GB-GOV-1-300137-103,"Support for Trade Facilitation Infrastructure for improved efficiency and capacity of transport and logistics networks (roads, rail, sea and ports)",Not related to climate
GB-1-203016-102,Procurement of Services for Health Strategic Support Programme,Not related to climate
GB-1-105325-101,PROCOFSERVICES and P0031 for Rtfp,Not related to climate
GB-GOV-3-Economic Security and Opportunity-PE,Economic Security and Opportunity in Peru,Not related to climate
GB-1-102406,Wateraid Programme Partnership Agreement,Not related to climate
GB-GOV-1-301497-402,"Humanitarian action through volunteers, enablers and networks (HAVEN) in Ukraine",Not related to climate
GB-1-203851-102,Programme Coordination Office for DDiN2,Not related to climate
GB-GOV-1-301316-104,Improving the relevance of TVET (Technical and Vocational Education and Training) to the skills set needed by industry,Not related to climate
GB-GOV-3-PF-HEA-911002,Administrative Costs of ODA Projects in Better Health Programme,Not related to climate
GB-1-205024-104,Targeting support directly to the poorest Egyptians,Not related to climate
GB-1-204940-111,Improving Market Systems for Agriculture in Rwanda - Programme capital,Not related to climate
GB-1-114267-104,Business Call to Action (funding the UN Development Programme Secretariat),Not related to climate
GB-1-204112,Enhancing Growth in New Enterprises (ENGINE),Not related to climate
GB-1-204940-101,Market System Development Services and Technical Assistance Fund,Not related to climate
GB-1-201587-119,To build the capacity of the government in improving the quality of education through contributing to the Education Joint Review Mission,Not related to climate
GB-GOV-1-300035-402,Strengthening Electoral Integrity Project (SEIP),Not related to climate
GB-1-200375,ICRC Appeal for Sudan in 2009,Not related to climate
GB-1-111578-102,Research on Supply-Side Constraints for Remittances,Not related to climate
GB-1-202377-103,Technical Assistance Fund,Not related to climate
GB-1-204517-101,World Health Organisation: Strengthening and expansion of the Health Sector in response to the Syria Crisis.,Not related to climate
GB-1-113160-102,Consultative Group to Assist the Poor (CGAP) Contribution TF053676 Successor to TF020673,Not related to climate
GB-1-114093-101,"NOTFORPROFITORG and P0118 for Legal Literacy, Rights Advice and Information  CSCF426",Not related to climate
GB-GOV-1-300903,Standards Partnership,Not related to climate
GB-GOV-3-PPF-CLS-000010,Tackling climate change in Chile: Supporting the development of an energy 2050 calculator,Not related to climate
GB-1-202698-102,MAP Programme Reviews,Not related to climate
GB-1-110738-101,Multi Donor Innovation Fund,Not related to climate
GB-1-203400-106,Provide an emergency response and timely assistance to urgent or chronic humanitarian needs of people affected by natural disaster or conflict,Not related to climate
GB-1-113998,World Health Organisation Collaborating Centre for Disaster Epidemiology - Improving the Complex Emergency Database.,Not related to climate
GB-1-204261,Additional contributions to UN consolidated and flash appeals,Not related to climate
GB-GOV-1-300055-106,"Improving long-term access to formal and informal employment opportunities for people with disabilities, (Inclusion Works).",Not related to climate
GB-1-204196-117,Humanitarian Support for Conflict Displaced Population in Kachin and Northern Shan,Not related to climate
GB-1-113916,Multi Fibre Arrangement (MFA) Forum,Not related to climate
GB-GOV-3-PF-PFD-STF-912,Departmental Central Administrative Costs of the Prosperity Fund Programme,Not related to climate
GB-GOV-3-PAP-MNU-002315,"Targeted work with local and national government and the private sector, to reduce corruption risks in the Mongolian mining sector",Not related to climate
GB-1-114237,CSCF Monitoring & Evaluation,Not related to climate
GB-1-202857-106,Rebuilding and Improving Schools after Ebola in Sierra Leone (RAISES),Not related to climate
GB-1-203661,Security Sector Accountability Programme,Not related to climate
GB-GOV-3-IP_MD,International Programmes in Moldova (the Republic of) (2020 - 2022),Not related to climate
GB-1-204768-101,Support to Africa-Led Movements to end Female Genital Mutilation (FGM) Phase 2: Technical Support,Not related to climate
GB-1-205142-106,Technology Transfer for Development - Ascensive Contract,Not related to climate
GB-1-204270-109,Malawi Catalyst Fund: Investment,Not related to climate
"GB-GOV-3-Rules Based International System, Managing Conflict and Building Stability-AF","Rules Based International System, Managing Conflict and Building Stability in Afghanistan",Not related to climate
GB-1-201484-101,Reimagining Development (IDS),Not related to climate
GB-1-114192-101,Accountable Grant Ag5229,Not related to climate
GB-1-204079-101,Developing Midwives Project Phase 2,Not related to climate
GB-1-204906-106,Support to Lebanon education sector including review of finance and funding arrangements,Not related to climate
GB-1-114320-120,Scaling up UK impact in the Energy and Low Carbon sectors in India,Not related to climate
GB-GOV-1-301168-112,Frontier Technologies 2 COVIDaction: Oxygen and Vaccine Data CoLab - advancing the R&D of oxygen concentrators and identifying niche data challenges to vaccine roll out.,Not related to climate
GB-1-103548-110,ECONOMIC POLICY RESEARCH INSTITUTE - Social Protection Training Programmes,Not related to climate
GB-GOV-3-PPF-UKSTAFF-000002,Administrative Costs of ODA Programme,Not related to climate
GB-1-204007-134,Support to humanitarian agencies responding to the crisis in Syria,Not related to climate
GB-GOV-1-301109-999,Unallocated budget,Not related to climate
GB-1-203928-102,Enabling an Accountable and Responsive Civil Society in Sudan,Not related to climate
GB-1-203707-101,Lessons from Brazil for African Agriculture,Not related to climate
GB-GOV-3-PEU-BPF-160303,Simplifying business regulations to improve economic governance and UK business prospects in Montenegro.,Not related to climate
GB-1-203636,Improving Solid Waste Management,Not related to climate
GB-1-201483-115,Ministry of Defence (Mod) Ship Providing Support to  Haiti,Not related to climate
GB-1-202694-101,Women for Health - Procurement of Services,Not related to climate
GB-GOV-1-300708-121,Rapid Mortality Mobile Phone Surveys - D.R.C,Not related to climate
GB-1-111043,Enhancing Livelihoods of Poor Livestock-Keepers Through Increasing Use of Fodder Phase II,Not related to climate
GB-GOV-3-PAP-ASEAN-002290,Inception of the National Assembly of Laos' Institute for Legislative Studies,Not related to climate
GB-1-201204,Financial Assistance to the Facilitation and Coordination of Access of Goods and Personnel  in the Occupied Palestinian Territories.,Not related to climate
GB-GOV-3-HRRBIS-CD,"Supporting Human Rights, Democracy and the Rules based International System in Congo (Democratic Republic)",Not related to climate
GB-GOV-1-301584-102,Legal Advice Costs for IFFEd,Not related to climate
GB-GOV-3-PPF-ME-000001,Establishing Monitoring and Evaluation mechanisms for the Cross-government Prosperity Fund,Not related to climate
GB-GOV-1-300708-104,Legal fees for advice relating to specific intellectual property clauses within an agreement.,Not related to climate
GB-GOV-1-301141,Saving Lives  in Sierra Leone Phase 3,Not related to climate
GB-1-113710,World Bank Trust Fund for Statistical Capacity Building,Not related to climate
GB-1-200226-101,UNFPA MOU Contribution,Not related to climate
GB-1-200978-101,"CSCF0490 Strengthening Livelihoods Through Natural Resource Management Capacity Building in PUNTLAND, Somalia",Not related to climate
GB-GOV-1-300601-103,Programme Funded Trade and Relationship Adviser,Not related to climate
GB-1-204565-115,NGO lead Rapid Response Programme to supported internally displaced populations in Eastern DRC.,Not related to climate
GB-1-203688,Humanitarian Assistance in Rakhine State,Not related to climate
GB-GOV-1-300075-105,Public Sector: Governance,Not related to climate
GB-GOV-1-301576-413,ACT For Survivors - MPTF - UN Team of Experts,Not related to climate
GB-1-202618-102,Malaria Indoor Residual Spraying in Kenya - USAID,Not related to climate
GB-GOV-3-IP_BR,International Programmes in Brazil (2020 - 2022),Not related to climate
GB-1-102925,UK Export Finance (UKEF) Debt Relief Compensation,Not related to climate
GB-1-113280-101,PROCOFSERVICES and P0316 for UNU - WIDER Developing Country Scholars,Not related to climate
GB-GOV-1-301191-103,Addressing Gender-Based Violence - CARE International,Not related to climate
GB-1-114476-101,PROCOFSERVICES and P0311 for Strategic Impact Fund,Not related to climate
GB-1-203775-106,United Nations Childrens Fund humanitarian response in the Sahel 2013 phase 2,Not related to climate
GB-1-201447-102,Tackling the Structural Drivers of the HIV Epidemic - Pathways for Prevention,Not related to climate
GB-GOV-3-PF-GBE-911002,Administrative Costs of the Business Environment programme,Not related to climate
GB-1-202697-102,Evaluation and Research,Not related to climate
GB-1-114190-102,"Accountable Grant AG5211 (Balance After 2008) - DFID Support to Carnegie Endowment for Peace - Advancing Understanding of International Support for Democracy, Democracy and the Rule of Law Program",Not related to climate
GB-1-203981-105,Linking Agribusiness and Nutrition - Development of a SUN Business Network (GAIN),Not related to climate
GB-1-204423,New Alliance (ICT) Agriculture Extension Challenge Fund,Not related to climate
GB-GOV-3-PAM-AS14-URM-000002,Administrative costs of ODA projects in Uruguay,Not related to climate
GB-1-107623-101,Contribution to UN OCHA for Humanitarian Co-ORDINATOR'S Multi-Stakeholders Fund,Not related to climate
GB-1-201042-101,Support to UNDP A4DES,Not related to climate
GB-1-106100-101,HUMANITASSISTANCE and P0034 for Programme Against Malnutrition Emergency Intervention,Not related to climate
GB-1-114026,Trade Union response to HIV/AIDS CSCF403,Not related to climate
GB-1-202942-107,Procurement of Goods for TDP - Programme Capital,Not related to climate
GB-GOV-1-301509-999,Unallocated budget,Not related to climate
GB-GOV-1-301251-101,Monitoring and Assurance planning component,Not related to climate
GB-1-203014-106,IDEAS 2015 Global Assembly EvD Contribution,Not related to climate
GB-1-204626-101,"Implementation of:  Gender and Equity Budgeting in six sectors, Gender Based Violence (GBV) in 13 districts and innovative approach to changing social norms (SASA)",Not related to climate
GB-GOV-1-300567-101,Start up code for entire INJECT programme - to be updated once BC approved,Not related to climate
GB-GOV-3-PPY-SEA-1521,Sharing UK best practices to enhance the transparency and value for money of Malaysia's public procurement processes,Not related to climate
GB-1-201221,Economic Analysis of Low Carbon AMCs,Not related to climate
GB-GOV-3-PHR-JER-111601,Promoting freedom of expression and the right to information through technology,Not related to climate
GB-1-205246-404,Financial Aid to governments of Punjab and KP - Girls and Out of School Children: Action for Learning (GOAL) programme,Not related to climate
GB-1-204841-102,Humanitarian Contribution to the World Food Programme,Not related to climate
GB-1-201096-101,Institute of Development Studies - EPA Analysis Project,Not related to climate
GB-1-113830,World Vision PPA,Not related to climate
GB-1-108737-101,MULTILATORGANISATION and P0056 for Tax Admin Reform Project(TARP),Not related to climate
GB-1-203428-101,Support for Appraisal and Design work,Not related to climate
GB-1-202179-102,Support To Family Planning - Consultant Costs,Not related to climate
GB-1-201551-105,Procurement of Services,Not related to climate
GB-1-203654-102,Procurement of Services for Advocacy for Primary Health Care Reform,Not related to climate
GB-1-112075-101,PROCOFSERVICES and P0110 for Research inspired Water Policy,Not related to climate
GB-1-202037-101,Lab-LITE: Moving Dart (Developing Anti-Retroviral Treatment) Implementation Forwards Into Policy and Practice in Africa,Not related to climate
GB-1-203433-101,YEGAP Binding Constraints to Economic Growth in Yemen,Not related to climate
GB-1-113050-103,Extractive Industries Transparency Initiative MDTF Payment,Not related to climate
GB-1-200611-101,Lesotho PEFA / FRA Consultancy,Not related to climate
GB-1-201789,UNESCO Core Contribution 2010,Not related to climate
GB-1-204570-104,Moved to Component 204570-107 under CDEL (Literature review and feasibility study on poverty impacts of the East Africa Community economic integration),Not related to climate
GB-1-201629-102,Appraisal and Design of Ghana Social Opportunities Project (G-Sop),Not related to climate
GB-GOV-3-PAM-AS14-COB-000011,Improving regulatory policies,Not related to climate
GB-1-112075,Research inspired Water Policy,Not related to climate
GB-1-200264,Centre for Conflict Resolution PEACEBUILDING Programme,Not related to climate
GB-1-102566,Africa Progress Panel,Not related to climate
GB-1-204977-102,Strengthened public finance management and public sector performance (WB-managed),Not related to climate
GB-1-203811-102,HIV Earmarked Funding for  PMTCT - CLOSED,Not related to climate
GB-1-203764-101,Design - Nepal Local Governance Support Programme,Not related to climate
GB-1-202668,ACCESS TO FAMILY PLANNING COMMODITIES,Not related to climate
GB-1-203109-106,South Sudan Health Pooled Fund - Programme Resource,Not related to climate
GB-1-111591,Global Health Workforce Alliance,Not related to climate
GB-1-114235,Engage Political Institutions and Processes to Reduce Poverty and Conflict,Not related to climate
GB-1-108196-101,NOTFORPROFITORG and P0118 for Empowering Vulnerable Children and Young People CSCF394,Not related to climate
GB-1-203967-101,Preparedness and Emergency Response,Not related to climate
GB-1-201064,United Nations Peacebuilding Fund (PBF – Multi-Year Core Support  2011-2016),Not related to climate
GB-1-200892,Africa Democracy Strengthening Programme Phase II,Not related to climate
GB-GOV-1-300055-102,Due Diligence Assessments for Proposed Consortia,Not related to climate
GB-GOV-1-300288-103,HOP's - ODI Fellowship External Review,Not related to climate
GB-1-203969-102,Knowledge and lessons learnt dissemination,Not related to climate
GB-1-204565-113,Multi-purpose cash assistance to vulnerable populations in the Democratic Republic of Congo (WFP),Not related to climate
GB-1-201859-101,UK Secondment to the European Commission Delegation in Kosovo,Not related to climate
GB-1-204497-103,Ligada: DFID Mozambique Support to Adolescent Girls and Women - Project Delivery,Not related to climate
GB-GOV-1-300511-112,WHO - Humanitarian Support to North West Syria,Not related to climate
GB-1-203706-115,"Support the availability and quality of disability data used by key humanitarian actors (United Nations, donors and international non-government organisations (INGOs) to count and plan for people with disabilities in humanitarian programmes.",Not related to climate
GB-GOV-3-PPF-IND-SKI1603,Increasing employment opportunities for disabled youth in India,Not related to climate
GB-1-201841-101,China’s Role in Fragile States in Africa: Implications for Governance and Development,Not related to climate
GB-1-201265,EU Local Government Reform Program,Not related to climate
GB-1-111041,National Agricultural Innovation Systems That Work for the Poor: Building on the Bolivian Experience,Not related to climate
GB-1-202549-101,Safer Motherhood in Kenya - Appraisal and Design,Not related to climate
GB-1-107459,Preparation of Electoral Roll With Photographs,Not related to climate
GB-GOV-1-300416-106,PLANE - World Bank Externally Funded Output for Technical Support on Education,Not related to climate
GB-1-200754-108,Partnership with Bal Raksha Bharat on Urban Street Children initiatives,Not related to climate
GB-1-203707-104,Africa-Brazil partnership on climate-smart agriculture and food security marketplace 2015/16+,Not related to climate
GB-1-104425-101,NONBUDSUPPFINAID and P0307 for Wind Generation Project,Not related to climate
GB-1-203550-102,Caribbean Development Bank Special Development Fund 8th Replenishment (SDF 8) Promissory Note 2014/15,Not related to climate
GB-1-109243-103,Pitcairn Wind Power - Equipment Procurement,Not related to climate
GB-1-113950-101,NOTFORPROFITORG and P0021 for Support to MAT,Not related to climate
GB-GOV-1-300820,"Transparency, Accountability and Stability for Credible and Peaceful Elections(TASTE)",Not related to climate
GB-1-204584-120,"Short term policy focussed research project to generate estimates of the current and potential future economic costs of anti-microbial resistance (AMR) globally, with a special focus on the impact in developing countries.",Not related to climate
GB-GOV-3-Women and Girls-LK,Women and Girls in Sri Lanka,Not related to climate
GB-GOV-3-PPF-BRB-000003,Improving the quality of public spending in Brazil through structured policy evaluation methodologies,Not related to climate
GB-1-107458-103,"Monitoring, Research and Procurement of Service  for SPEMP",Not related to climate
GB-1-114006-101,Supporting the UN Framework Team for Preventive Action,Not related to climate
GB-1-205128-111,International Committee of the Red Cross (ICRC),Not related to climate
GB-1-202704-102,Consultancy Advice on Rural  Feeder Roads Project for South Sudan,Not related to climate
GB-1-201672-101,Support for the Implementation and Preparatory Arrangement of the ICCTF,Not related to climate
GB-1-200841,Zimbabwe Education Programme,Not related to climate
GB-1-202865-101,Technical Assistance - Skills for Jobs,Not related to climate
GB-1-105593-102,PROCOFSERVICES and P0024 for Strengthening Evidence Based Decision Making In Uganda,Not related to climate
GB-GOV-3-PPF-THB-000022,Improving transparency and preventing corruption in public procurement in Thailand,Not related to climate
GB-1-203089-101,To fund the increase of knowledge and evidence to inform the effective and sustainable control of neglected tropical diseases at-scale in developing countries,Not related to climate
GB-GOV-3-PHR-BKM-031701,Counteract and Prevent Gender-based Violence in Belarus,Not related to climate
